011000015,"FEDERAL RESERVE BANK;1000 PEACHTREE ST N.E.;ATLANTA, GA 30309-4470"
091908713,"UNITED MINNESOTA BANK;PO BOX 289;NEW LONDON, MN 56273-0000"
091908726,"NEW MARKET BANK;PO BOX 69;ELKO NEW MARKET, MN 55054-0000"
091908742,"STATE BANK NEW RICHLAND;103 BROADWAY AVENUE N;NEW RICHLAND, MN 56072-0000"
091908768,"PROGROWTH BANK;PO BOX 77;NICOLLET, MN 56074-0077"
091908881,"WOODLANDS NATIONAL BANK;PO BOX B;ONAMIA, MN 56359-0000"
091908988,"FARMERS & MERCHANTS STATE BANK;PO BOX 308;PIERZ, MN 56364-0000"
091909055,"PRIOR LAKE STATE BANK;BOX 369;PRIOR LAKE, MN 55372-0000"
091909068,"FIRST NATIONAL BANK;211 SECOND STREET;PROCTOR, MN 55810-0000"
091909084,"RANDALL STATE BANK;307 PACIFIC AVE;RANDALL, MN 56475-0000"
091909178,"PLAZA PARK STATE BANK;PO BOX 337;WAITE PARK, MN 56387-0337"
091909217,"FIRST STATE BANK OF ROSEMOUNT;3025 145TH ST W;ROSEMOUNT, MN 55068-0000"
091909275,"FARMERS & MERCHANTS STATE BK;200 WEST MAPLE;SACRED HEART, MN 56285-0000"
091909437,"ST. CLAIR STATE BANK;PO BOX 39;ST CLAIR, MN 56080-0039"
091909466,"SENTRY BANK;400 4TH AVE NE;ST. JOSEPH, MN 56374-0159"
091909518,"CONCORDE BANK;PO BOX 78;BLOMKEST, MN 56216-0000"
091910002,"FARMERS & MERCHANTS STATE BANK;BOX 137;PAYNESVILLE, MN 56362-0000"
091910028,"BANK OF ZUMBROTA;70 WEST 3RD STREET;ZUMBROTA, MN 55992-0000"
091910196,"LAKE ELMO BANK;PO BOX 857;LAKE ELMO, MN 55042-0000"
091910439,"FRANDSEN BANK & TRUST;1616 S WASHINGTON;GRAND FORKS, ND 58201-0000"
091910455,"STEARNS BANK NATIONAL ASSN;4140 THIELMAN LN;SAINT CLOUD, MN 56301-0000"
091910633,"MERCHANTS BANK, NA;102 EAST 3RD STREET;WINONA, MN 55987-3416"
091910879,"FIRST NATIONAL BANK MINNESOTA;226 NASSAU STREET;SAINT PETER, MN 56082-0000"
091911001,"FIRST COMMUNITY BANK;BOX 128;LESTER PRAIRIE, MN 55354-0000"
091911153,"LAKE REGION BANK;MAIN ST BOX 450;NEW LONDON, MN 56273-0000"
091911302,"FARMERS STATE BANK;PO BOX 128;DARWIN, MN 55324-0000"
091911315,"CITIZENS ALLIANCE BANK;PO BOX 8;LAKE LILLIAN, MN 56253-0000"
091911357,"STEARNS BANK UPSALA, NA;4140 THIELMAN LN;SAINT CLOUD, MN 56301-0000"
091911409,"CAMBRIDGE STATE BANK;127 S MAIN;CAMBRIDGE, MN 55008-0000"
091911548,"FIRST STATE BANK;PO BOX 308;WYOMING, MN 55092-0000"
091911551,"FIRST STATE BANK AND TRUST;BOX A;BAYPORT, MN 55003-0000"
091911577,"CITIZENS ST BK NORWOOD YOUNG AMERICA;409 FAXON RD;NORWOOD YOUNG AMER, MN 55368-0789"
091911797,"FARMERS STATE BANK;PO BOX 490;WATKINS, MN 55389-0490"
091911959,"FRANDSEN BANK & TRUST;1616 S WASHINGTON;GRAND FORKS, ND 58201-0000"
091912330,"WHITE ROCK BANK;360 NORTH ROBERT STREET;ST. PAUL, MN 55101-0000"
091912482,"CITIZENS ALLIANCE BANK;PO BOX 280;HOWARD LAKE, MN 55349-0000"
091912521,"LAKE AREA BANK;12790 FIRST AVENUE NORTH;LINDSTROM, MN 55045-0743"
091912547,"THE FIRST STATE BANK OF RED WING;134 1ST AVENUE;MAZEPPA, MN 55956-0000"
091912576,"COMMERCE BANK;PO BOX 149;GENEVA, MN 56035-0000"
091913096,"FARMERS STATE BANK MADELIA;PO BOX 188;MADELIA, MN 56062-0000"
091913148,"CASTLE ROCK BANK;PO BOX 9;FARMINGTON, MN 55024-0000"
091913177,"FIRST NATIONAL BANK;PO BOX 490;COKATO, MN 55321-0490"
091913180,"PRINSBANK;508 3RD STREET;PRINSBURG, MN 56281-0038"
091913216,"PEOPLES BANK OF COMMERCE;234 E 1ST AVE;CAMBRIDGE, MN 55008-0000"
091913452,"MINNESOTA NATIONAL BANK;235 MAIN STREET;SAUK CENTRE, MN 56378-0306"
091913601,"KANABEC STATE BANK;730 FOREST AVENUE EAST;MORA, MN 55051-0000"
091913685,"21ST CENTURY BANK-NORTH;9380 CENTRAL AVENUE NE;BLAINE, MN 55434-0000"
091914121,"PINE RIVER STATE BANK;PO BOX 67;PINE RIVER, MN 56474-0000"
091914202,"PEOPLES NATIONAL BANK OF MORA;45 UNION ST NORTH;MORA, MN 55051-0000"
091914257,"SECUR ST BK WANAMINGO INC;232 MAIN STREET;WANAMINGO, MN 55983-0188"
091914273,"1ST NATL BK AT ST JAMES;202 1ST AVE SOUTH;ST JAMES, MN 56081-0000"
091914286,"LAKEWOOD BANK NA;PO BOX 500;NISSWA, MN 56468-0500"
091914370,"VERMILLION STATE BANK;BOX 28;VERMILLION, MN 55085-0000"
091914406,"ST MARTIN NATIONAL BANK;136 MAIN STREET;ST MARTIN, MN 56376-0000"
091914464,"BREMER BANK, NA;720 BROADWAY;ALEXANDRIA, MN 56308-0000"
091914561,"SECURITY STATE BK OF MARINE;PO BOX 35;MARINE ON ST CROIX, MN 55047-0035"
091914710,"HERITAGE BANK N A;PO BOX 1124;WILLMAR, MN 56201-0000"
091914794,"FIRST COMMUNITY BANK SILVER LAKE;201 W MAIN BOX 323;SILVER LAKE, MN 55381-0323"
091914820,"FIRST NATIONAL BANK OF MOOSE LAKE;BOX 429;MOOSE LAKE, MN 55767-0429"
091915133,"FARMERS STATE BANK;181 MAIN ST;WEST CONCORD, MN 55985-0000"
091915201,"SHERBURNE STATE BANK;12500 SHERBURNE AVENUE;BECKER, MN 55308-0000"
091915311,"FIRST STATE BANK OF ST. JOESPH;400 4TH AVE NE;ST JOESPH, MN 56374-0159"
091915612,"PEOPLES STATE BANK;100 4TH AVENUE SE;PLAINVIEW, MN 55964-2502"
091915654,"KLEINBANK;1550 AUDOBON RD;CHASKA, MN 55318-0000"
091915670,"HOME STATE BANK;PO BOX 1620;WILLMAR, MN 56201-0000"
091915722,"PRODUCE STATE BANK;109 PARK AVENUE;HOLLANDALE, MN 56045-0000"
091915751,"PINE COUNTRY BANK;PO BOX 25;ROYALTON, MN 56373-0000"
091915777,"CITIZENS STATE BANK;111 SOUTH 10TH STREET;OLIVIA, MN 56277-0000"
091915793,"MINNWEST BANK CENTRAL;PO BOX 428;MONTEVIDEO, MN 56265-0428"
091915832,"LAKE COUNTRY COMMUNITY BANK;111 NORTH DIVISION STREET;MORRISTOWN, MN 55052-0000"
091915845,"MINNWEST BANK M.V.;PO BOX 439;REDWOOD FALLS, MN 56283-0439"
091915890,"COMMUNITY BANK MANKATO;300 ST ANDREWS DRIVE;MANKATO, MN 56001-0000"
091916048,"FLAGSHIP BANK WINSTED;110 FIRST STREET NORTH;WINSTED, MN 55395-0000"
091916051,"ATWATER STATE BANK;PO BOX 755;ATWATER, MN 56209-0000"
091916077,"FIRST FARMERS & MERCHANTS NATL BK;112 S MAIN ST;LE SUEUR, MN 56058-0000"
091916093,"SECURITY STATE BANK;PO BOX G;KENYON, MN 55946-0000"
091916161,"SECURITY BANK & TRUST GLENCOE;PO BOX 218;GLENCOE, MN 55336-0218"
091916200,"FRANKLIN STATE BANK;PO BOX 99;FRANKLIN, MN 56333-0000"
091916255,"EQUITY BANK;SUITE 100;MINNETONKA, MN 55343-0000"
091916378,"HIGHLAND BANK;SUITE 100;BLOOMINGTON, MN 55437-0000"
091916527,"SECURITY STATE BANK;402 MINNESOTA AVE N;AITKIN, MN 56431-0000"
091916543,"BANKWEST;5921 MAIN STREET;ROCKFORD, MN 55373-0219"
091916721,"MINNWEST BANK METRO;1150 YANKEE DOODLE ROAD;EAGAN, MN 55123-0000"
091916802,"FRANDSEN BANK & TRUST;1616 S WASHINGTON;GRAND FORKS, ND 58201-0000"
091916815,"PROVINCIAL BANK;PO BOX 459;LAKEVILLE, MN 55044-0459"
091916831,"FRANDSEN BANK & TRUST;1616 S WASHINGTON;GRAND FORKS, ND 58201-0000"
091916844,"ROUNDBANK;PO BOX 667;WASECA, MN 56093-0667"
091916899,"PATRIOT BANK MINNESOTA;19810 HEADWATERS BOULEVARD;FOREST LAKE, MN 55025-0000"
091916941,"PRIME SECURITY BANK-SHAKOPEE OFF;1595 THOMAS CENTER DRIVE;EAGAN, MN 55122-0000"
091916967,"NORTHERN STAR BANK;1650 MADISON AVENUE;MANKATO, MN 56001-0000"
091917005,"MERCHANTS BANK N.A.;102 EAST THIRD STREET;WINONA, MN 55987-0000"
091917018,"LAKE REGION BANK;51 MAIN STREET;NEW LONDON, MN 56273-0000"
091917021,"GREAT NORTHERN BANK;12725 43RD STREET NE;ST MICHAEL, MN 55376-0000"
091917034,"NATIONAL BANK OF COMMERC-DULUTH OFF;PO BOX 99;SUPERIOR, WI 54880-0099"
091917047,"COMMUNITY BANK CORPORATION;PO BOX 114;CHASKA, MN 55318-0000"
091917050,"BANKVISTA;PO BOX 338;SARTELL, MN 56377-0338"
091917115,"COMMUNITY PRIDE BANK;1441 BUNKER LAKE BLVD NE;HAM LAKE, MN 55304-0000"
091917160,"COMMUNITY RESOURCE BANK;1605 HERITAGE DRIVE;NORTHFIELD, MN 55057-0000"
091917186,"NEIGHBORHOOD NATIONAL BANK;803 N. NOKOMIS NE;ALEXANDRIA, MN 56308-0000"
091917254,"COMMUNITY BANK OWATONNA;640 BRIDGE STREET;OWATONNA, MN 55060-0000"
091917267,"CENTRAL BANK;2270 FRONTAGE RD;STILLWATER, MN 55082-0000"
091917270,"FALCON NATIONAL BANK;183 CEDAR DRIVE;FOLEY, MN 56329-0000"
091917351,"LAKEVIEW BANK;9725 163RD STREET WEST;LAKEVILLE, MN 55044-0000"
091917364,"WESTERN NATIONAL BANK;PO BOX 16050;DULUTH, MN 55816-0050"
091917377,"COMMUNITY BANK, AUSTIN;422 COMMERICAL;WATERLOO, IA 50704-0000"
091917461,"FIRST RESOURCE BANK;4022 COUNTY ROAD 42 W;SAVAGE, MN 55378-0000"
091917490,"LAKEVIEW BANK;9725 163RD STREET WEST;LAKEVILLE, MN 55044-0000"
091917513,"RIVERLAND BANK;700 SEVILLE DRIVE;JORDAN, MN 55352-0000"
091917571,"FALCON NATIONAL BANK;183 CEDAR DRIVE;FOLEY, MN 56329-0000"
091917649,"LANDMARK COMMUNITY BANK;5909 167TH AVENUE NW;RAMSEY, MN 55303-0000"
091917665,"FIRST NATIONAL BANK OF ELK RIVER;812 MAIN ST. NE;ELK RIVER, MN 55330-1304"
091917681,"FIRST NATIONAL BANK OF WASECA;101 NORTH STATE STREET;WASECA, MN 56093-0000"
091917733,"REPUBLIC BANK, INC.;306 W. SUPERIOR STREET;DULUTH, MN 55802-0000"
091918208,"PARK STATE BANK;SUITE 2;DULUTH, MN 55806-0000"
091918211,"COMMUNITY PRIDE BANK;1441 BUNKER LAKE BLVD NE;HAM LAKE, MN 55304-0000"
091918224,"RELIANCE BANK;2300 NW 30TH STREET;FARIBAULT, MN 55021-0000"
091918237,"FIRST STATE BANK AND TRUST;950 N. HWY 95;BAYPORT, MN 55003-0000"
091918240,"GREAT NORTHERN BANK;12725 43RD ST NE;ST MICHAEL, MN 55376-0000"
091918279,"NORTH SHORE BANK OF COMMERCE;131 W SUPERIOR STREET;DULUTH, MN 55802-0000"
091918282,"THE BANK OF ELK RIVER;630 MAIN STREET;ELK RIVER, MN 55330-0000"
091918347,"CROW RIVER STATE BANK;PO BOX 700;DELANO, MN 55328-0000"
091971533,"AMERICAN NATL BK OF MINNESOTA;1920 SOUTH 6TH STREET;BRAINERD, MN 56401-4527"
091971627,"MINNESOTA FIRST CREDIT & SAVINGS,INC;1932 VIKING DRIVE NW;ROCHESTER, MN 55901-0000"
091981646,"SOUTH METRO FEDERAL CREDIT UNION;2573 CREDIT UNION DR;PRIOR LAKE, MN 55372-0000"
091981688,"CROW WING POWER CREDIT UNION;17330 STATE HWY 371;BRAINERD, MN 56401-0000"
092000267,"FRB-HELENA ACH;100 NEIL AVE;HELENA, MT 59601-0000"
092001208,"FIRST SECURITY BANK HELENA;1721 11TH AV BOX 218;HELENA, MT 59624-0000"
092001512,"VALLEY BANK OF HELENA;3030 N. MONTANA AVENUE;HELENA, MT 59601-0000"
092001677,"MOUNTAIN WEST BANK, NA;1225 CEDAR STREET;HELENA, MT 59604-0000"
092005518,"VALLEY BANK OF HELENA;PO BOX 5269;HELENA, MT 59604-0000"
092101014,"UNITED BANK;3 WOODARD;ABSAROKEE, MT 59001-0000"
092101030,"GLACIER BANK;PO BOX 27;KALISPELL, MT 59903-0027"
092101085,"CITIZENS BANK & TRUST BIG TIMBER;BOX 847;BIG TIMBER, MT 59011-0847"
092101182,"FIRST BANK OF LINCOLN;BOX 9;LINCOLN, MT 59639-0000"
092101289,"FIRST SECURITY BANK MALTA;PO BOX 730;MALTA, MT 59538-0730"
092101360,"FIRST ST BK;PO BOX 910;MALTA, MT 59538-0910"
092101603,"FIRST VALLEY BANK;3084 HWY 83;SEELEY LAKE, MT 59868-0000"
092102851,"FIRST MONTANA BANK, INC;504 MINERAL AVENUE;LIBBY, MT 59923-1550"
092104244,"MONTANA STATE BANK;220 NORTH MAIN;PLENTYWOOD, MT 59254-0000"
092104875,"SUMMIT NATIONAL BANK;PO BOX 98;HULETT, WY 82720-0000"
092105104,"THE BANK OF BAKER;116 S MAIN ST;BAKER, MT 59313-0000"
092105159,"FARMERS STATE BANK;PO BOX 1047;DENTON, MT 59430-0000"
092105227,"FAIRVIEW OFF-FST SECURITY BK-WEST;BOX 465;FAIRVIEW, MT 59221-0465"
092105337,"GARFIELD COUNTY BANK;PO BOX 6;JORDAN, MT 59337-0000"
092900383,"US BANK NA;EP-MN-WN1A;ST. PAUL, MN 55107-1419"
092900419,"FIRST INTERSTATE BK COMM MAIN OFC;PO BOX 30918;BILLINGS, MT 59116-0918"
092900480,"FIRST INTERSTATE BANK-KALISPELL OFF;PO BOX 30918;BILLINGS, MT 59116-0918"
092900613,"FIRST SECURITY BANK;PO BOX 910;BOZEMAN, MT 59771-0910"
092900655,"RED LODGE OFFICE, FIRST INTERSTATE B;PO BOX 30918;BILLINGS, MT 59116-0918"
092900736,"FIRST BANK OF MONTANA;220-224 W MAIN STREET;LEWISTOWN, MT 59457-0000"
092900820,"BITTERROOT VALLEY BANK;224 PINCKNEY;HAMILTON, MT 59840-0150"
092900833,"FIRST SECURITY BANK OF MISSOULA;PO BOX 4506;MISSOULA, MT 59806-0000"
092900862,"STATE BANK & TR CO;110 SOUTH IDAHO STREET;DILLON, MT 59725-1257"
092900956,"FIRST COMMUNITY BANK;540 2ND AVE S;GLASGOW, MT 59230-0000"
092900985,"CITIZENS BANK & TRUST BIG TIMBER;BOX 847;BIG TIMBER, MT 59011-0847"
092901078,"FIRST BANK OF MONTANA;PO BOX 540;LEWISTOWN, MT 59457-0000"
092901104,"STATE BANK OF TOWNSEND;400 BROADWAY;TOWNSEND, MT 59644-0250"
092901117,"FIRST MADISON VALLEY BANK;PO BOX 307;ENNIS, MT 59729-0307"
092901146,"FIRST MADISON VALLEY BANK;PO BOX 307;ENNIS, MT 59729-0307"
092901175,"TETON BANKS;321 CENTRAL AVE;FAIRFIELD, MT 59436-0000"
092901191,"WESTERN SECURITY BANK;PO BOX 2508;BILLINGS, MT 59103-0000"
092901214,"ROCKY MOUNTAIN BANK;PO BOX 80450;BILLINGS, MT 59108-0000"
092901227,"AMERICAN BANK;PO BOX 2290;LIVINGSTON, MT 59047-2290"
092901256,"FIRST SECURITY BANK OF ROUNDUP;PO BOX 100;ROUNDUP, MT 59072-0100"
092901272,"FLATHEAD BANK;BOX 308;BIGFORK, MT 59911-0308"
092901298,"FIRST SECURITY BANK DEER LODGE;311 MILWAUKEE AV;DEER LODGE, MT 59722-0629"
092901337,"FIRST SECURITY BANK MISSOULA;PO BOX 4506;MISSOULA, MT 59806-0000"
092901340,"INDEPENDENCE BANK;PO BOX 2090;HAVRE, MT 59501-2090"
092901382,"BANK OF THE ROCKIES,NAT'L ASSN.;2000 PROSPECT AVE;HELENA, MT 59604-0000"
092901395,"FIRST CITIZENS BK POLSON, N.A.;213 1ST ST W;POLSON, MT 59860-0000"
092901418,"THREE RIVERS BANK OF MONTANA;PO BOX 7250;KALISPELL, MT 59904-0250"
092901434,"FIRST BANK;120 2ND ST NW;SIDNEY, MT 59270-0000"
092901476,"COMMUNITY BANK, INC.;63239 U.S. HIGHWAY 93;RONAN, MT 59864-0000"
092901489,"FIRST CITIZENS BANK;PO BOX 3149;BUTTE, MT 59702-0000"
092901492,"VALLEY BANK GLASGOW;PO BOX 511;GLASGOW, MT 59230-0511"
092901544,"COMMUNITY FIRST BANK OF GLENDIVE;319 N MERRILL AVE;GLENDIVE, MT 59330-0000"
092901560,"BITTERROOT VALLEY BANK;5600 AIRWAY BLVD.;MISSOULA, MT 59808-0000"
092901599,"VALLEY BANK OF RONAN;63659 HWY 93 S;RONAN, MT 59864-0000"
092901625,"NATIVE AMERICAN BANK;999 18TH ST. STE. 2460;DENVER, CO 80202-0000"
092901638,"MOUNTAIN WEST BANK N.A.;1225 CEDAR STREET;HELENA, MT 59604-0000"
092901641,"FLATHEAD BANK;PO BOX 308;BIGFORK, MT 59911-0000"
092901654,"BIG SKY WESTERN BANK;3320 DREDGE DRIVE;HELENA, MT 59602-0000"
092901683,"FIRST INTERSTATE BANK;PO BOX 30918;BILLINGS, MT 59116-0918"
092901706,"COMMUNITY BANK MISSOULA;PO BOX 16167;MISSOULA, MT 59808-0000"
092901735,"STOCKMAN BK OF MONTANA-MILES CITY;700 MAIN STREET;MILES CITY, MT 59301-0000"
092901803,"GLACIER BANK;PO BOX 27;KALISPELL, MT 59901-0000"
092902132,"MANHATTAN BANK;BOX 690;MANHATTAN, MT 59741-0690"
092902271,"FIRST STATE BANK;PO BOX 913;SHELBY, MT 59474-0913"
092902297,"VALLEY BANK OF KALISPELL;PO BOX 48;KALISPELL, MT 59903-0048"
092902352,"FIRST SECURITY BANK OF MISSOULA;PO BOX 4506;MISSOULA, MT 59806-0000"
092902394,"FARMERS STATE BANK VICTOR;103 MAIN STREET;VICTOR, MT 59875-0000"
092902404,"GLACIER BANK;PO BOX 27;KALISPELL, MT 59901-0000"
092902446,"BASIN STATE BANK;103 CENTRAL AVENUE;STANFORD, MT 59479-0000"
092902488,"STOCKMENS BANK;BOX 345;CASCADE, MT 59421-0000"
092902705,"WESTERN BANK OF WOLF POINT;111 3RD AVE SOUTH;WOLF POINT, MT 59201-0000"
092902983,"US BANK;EP-MN-WN1A;ST. PAUL, MN 55107-1419"
092903270,"FIRST STATE BANK OF FORSYTH;880 MAIN STREET;FORSYTH, MT 59327-0379"
092903542,"BANK OF BRIDGER, NA;101 S MAIN ST;BRIDGER, MT 59014-0000"
092904185,"RUBY VALLEY NATIONAL BANK;103 NORTH MAIN STREET;SHERIDAN, MT 59749-0587"
092904554,"U.S. BANK;EP-MN-WN1A;ST. PAUL, MN 55107-1419"
092904570,"STOCKMAN BANK OF MONTANA;700 MAIN ST;MILES CITY, MT 59301-0000"
092904761,"LITTLE HORN STATE BANK;PO BOX 530;HARDIN, MT 59034-0000"
092904774,"CITIZENS STATE BK OF CHOTEAU MONTANA;DRAWER 9;FAIRFIELD, MT 59436-0000"
092905029,"PEOPLES BK OF DEER LODGE;430 MAIN STREET;DEER LODGE, MT 59722-0599"
092905142,"YELLOWSTONE BANK;12 FIRST AVENUE;LAUREL, MT 59044-0000"
092905168,"WELLS FARGO BANK NA;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
092905207,"BELT VALLEY BANK;111 CASTNER;BELT, MT 59412-0196"
092905210,"FLINT CREEK VALLEY BANK;139 EAST BROADWAY;PHILIPSBURG, MT 59858-0000"
092905249,"STOCKMAN BANK OF MONTANA;700 MAIN ST;MILES CITY, MT 59301-3122"
092905252,"1ST INTERSTATE BANK;PO BOX 30918;BILLINGS, MT 59116-0918"
092905265,"LAKE COUNTY BANK ST IGNATIUS;102 CRYSTAL STREET;ST IGNATIUS, MT 59865-0664"
092905278,"WELLS FARGO BANK NA;255 2ND AVE SOUTH;MINNEAPOLIS, MN 55479-0000"
092905362,"DUTTON STATE BANK;101 WEST MAIN;DUTTON, MT 59433-0016"
092905427,"PRAIRIE MOUNTAIN BANK;1019 7TH STREET S;GREAT FALLS, MT 59405-0000"
092905430,"WEST ONE BANK;222 W. IDAHO;KALISPELL, MT 59901-0000"
092905443,"BANK OF BOZEMAN;PO BOX 10070;BOZEMAN, MT 59719-0000"
092905456,"FREEDOM BANK;530 9TH STREET WEST;COLUMBIA FALLS, MT 59912-0000"
092905469,"BEARTOOTH BANK;4130 KING AVENUE WEST;BILLINGS, MT 59106-0000"
092905472,"EAGLE BANK;80 HERITAGE LANE;POLSON, MT 59860-0000"
092905485,"BIG SKY WESTERN BANK;3320 DREDGE DR;HELENA, MT 59602-0000"
092905498,"GLACIER BANK;202 MAIN STREET;KALISPELL, MT 59901-0000"
092905508,"TREASURE STATE BANK;3660 MULLAN ROAD;MISSOULA, MT 59808-0000"
092905524,"BANK OF MONTANA;125 BANK STREET;MISSOULA, MT 59802-0000"
092905537,"FARMERS STATE BANK;PO BOX 190;VICTOR, MT 59875-0000"
092976799,"HOMESTEAD FEDERAL CREDIT UNION;302 NORTH 11TH STREET;BILLINGS, MT 59101-0000"
092981658,"MONTANA EDUCATORS CREDIT UNION;SUITE 1;MISSOULA, MT 59801-0000"
096000580,"BANKCHEROKEE;607 S SMITH AVE;ST PAUL, MN 55107-2617"
096000603,"AMERICAN BANK OF ST. PAUL;1060 DAKOTA DRIVE;MENDOTA HEIGHTS, MN 55120-0000"
096000661,"WESTERN BANK;STE 300;MAPLEWOOD, MN 55113-0000"
096000687,"ANCHOR BANK ST PAUL;SUITE B;APPLE VALLEY, MN 55124-0000"
096000700,"PARK MIDWAY BANK, N.A.;SUITE 200;ST PAUL, MN 55103-0000"
096000755,"ASSOCIATED BANK N.A.;2870 HOLMGREN WAY;GREEN BAY, WI 54304-0000"
096000959,"NORTH STAR BANK;4661 HIGHWAY 61;WHITE BEAR LAKE, MN 55110-0000"
096000988,"CAPITAL BK ST PAUL;1020 RICE STREET;ST PAUL, MN 55117-0000"
096001013,"UNIVERSITY NATIONAL BANK;SUITE 200;ST PAUL, MN 55103-0000"
096005093,"PREMIER BANK;2866 WHITE BEAR AVENUE;MAPLEWOOD, MN 55109-1384"
096008825,"ANCHOR BANK SAINT PAUL, NA;SUITE B;APPLE VALLEY, MN 55124-0000"
096010415,"BREMER BANK, NA;8555 EAGLE POINT BLVD;LAKE ELMO, MN 55042-1000"
096015232,"ANCHOR BANK N.A.;SUITE B;APPLE VALLEY, MN 55124-0000"
096016794,"ASSOCIATED BANK MINNESOTA;2870 HOLMGREN WAY;GREEN BAY, WI 54304-0000"
096016888,"KEY COMMUNITY BANK;5684 BISHOP AVE;INVER GROVE HGHTS, MN 55076-0000"
096016930,"NORTH AMERICAN BANKING COMPANY;2230 ALBERT STREET;ROSEVILLE, MN 55113-0000"
096016972,"AGRIBANK, FCB;30 E 7TH STREET, SUITE 1600;ST PAUL, MN 55101-1810"
096016985,"ALERUS FINANCIAL, N.A.;2300 SOUTH COLUMBIA ROAD;GRAND FORKS, ND 58201-4507"
096017230,"DRAKE BANK;60 EAST PLATO BLVD;SAINT PAUL, MN 55107-0000"
096017337,"GATEWAY BANK;745 MARKET STREET;MENDOTA HEIGHTS, MN 55118-0000"
096017340,"COULEE BANK;1516 LOSEY BLVD S;LA CROSSE, WI 54601-0000"
096017382,"CORTRUST BANK NATIONAL ASSOCIATION;PO BOX 1246;MITCHELL, SD 57301-1246"
096017418,"UNIVERSITY NATIONAL BANK;SUITE 200;SAINT PAUL, MN 55103-0000"
096017670,"PLATINUM BANK;7667 10TH STREET N;OAKDALE, MN 55128-0000"
096017719,"SUMMIT COMMUNITY BANK;1275 EAST COUNTY ROAD D;MAPLEWOOD, MN 55109-0000"
096017751,"DRAKE BANK;SUITE 100;ST. PAUL, MN 55107-0000"
096017764,"SUMMIT COMMUNITY BANK;1275 COUNTY RD D EAST;MAPLEWOOD, MN 55109-0000"
096017777,"COULEE BANK;1516 LOSEY BLVD S;LA CROSSE, WI 54601-0000"
096017780,"GATEWAY BANK;745 MARKET STREET;MENDOTA HEIGHTS, MN 55118-0000"
096018352,"KEY COMMUNITY BANK;5684 BISHOP AVE;INVER GROVE HEIGHTS, MN 55076-0000"
096081729,"CATHOLIC UNITED FINANCIAL CU;3499 LEXINGTON AVENUE NORTH STE 202;ST PAUL, MN 55126-8098"
101000019,"COMMERCE BANK;ACH DEPT.;KANSAS CITY, MO 64141-6248"
101000035,"BANK OF AMERICA, N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
101000048,"FEDERAL RESERVE BANK;PO BOX 291;MINNEAPOLIS, MN 55480-0291"
101000077,"UMB BANK,N.A.;1008 OAK ST.;KANSAS CITY, MO 64106-0000"
101000158,"MISSOURI BANK & TRUST CO;PO BOX 26430;KANSAS CITY, MO 64196-0000"
101000187,"US BANK NA;EP-MN-WN1A;ST. PAUL, MN 55107-1419"
101000695,"UMB BANK, NATIONAL ASSOCIATION;1008 OAK ST;KANSAS CITY, MO 64106-0000"
101000789,"BANK MIDWEST NA;PO BOX 26158;KANSAS CITY, MO 64196-9800"
101000925,"SECURITY BANK OF KANSAS CITY;BOX 171297;KANSAS CITY, KS 66117-0000"
101000967,"INDUSTRIAL STATE BANK;PO BOX 6007;KANSAS CITY, KS 66106-0000"
101001005,"FIRST STATE BANK;650 KANSAS AVENUE;KANSAS CITY, KS 66105-0000"
101001018,"FIRST BANK OF MISSOURI;7001 NORTH OAK;GLADSTONE, MO 64118-0000"
101001047,"BROTHERHOOD BANK & TRUST COMPANY;756 MINNESOTA AVE;KANSAS CITY, KS 66101-2704"
101001089,"LIBERTY BANK & TRUST CO.;6600 PLAZA DRIVE;NEW ORLEANS, LA 70126-0000"
101001173,"BANK OF AMERICA, N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
101001283,"CENTRAL BANK KANSAS CITY;2301 INDEPENDENCE AVE;KANSAS CITY, MO 64124-2314"
101001306,"COUNTRY CLUB BANK;414 NICHOLS RD;KANSAS CITY, MO 64112-2005"
101001351,"VALLEY VIEW STATE BANK;7500 W 95TH ST;OVERLAND PARK, KS 66212-2201"
101001364,"BLUE RIDGE BANK & TRUST CO;4240 BLUE RIDGE BOULEVARD;KANSAS CITY, MO 64133-1700"
101001500,"UNION BANK;9300 BLUE RIDGE BLVD;KANSAS CITY, MO 64138-3844"
101001681,"BANK OF THE WEST;PO BOX 87003;LOS ANGELES, CA 90087-7003"
101001720,"ENTERPRISE BANK AND TRUST;430 EAST SANTA FE;OLATHE, KS 66061-0000"
101001911,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
101002716,"BANK MIDWEST NA;PO BOX 26158;KANSAS CITY, MO 64196-9800"
101002855,"GREAT AMERICAN BANK;PO BOX 429;DE SOTO, KS 66018-0000"
101002949,"BANK MIDWEST NA;PO BOX 26158;KANSAS CITY, MO 64196-9800"
101003045,"PREMIER BANK;PO BOX 15956;LENEXA, KS 66285-5956"
101003317,"FIRST NATIONAL BANK OF OMAHA;1620 DODGE STREET;OMAHA, NE 68197-0000"
101003773,"COMMUNITY BANK OF RAYMORE;PO BOX 200;RAYMORE, MO 64083-0000"
101004280,"BANK OF LEE'S SUMMIT;210 SW MAIN;LEE'S SUMMIT, MO 64063-0000"
